"customer_id","first_name","address_id","email","rental_id"
548,"Allan",554,"allan.cornish@sakilacustomer.org",13584
352,"Albert",357,"albert.crouse@sakilacustomer.org",13578
448,"Miguel",453,"miguel.betancourt@sakilacustomer.org",13577
530,"Darryl",536,"darryl.ashcraft@sakilacustomer.org",13561
279,"Dianne",284,"dianne.shelton@sakilacustomer.org",13538
75,"Tammy",79,"tammy.sanders@sakilacustomer.org",13534
274,"Naomi",279,"naomi.jennings@sakilacustomer.org",13486
576,"Morris",582,"morris.mccarter@sakilacustomer.org",13464
44,"Marie",48,"marie.turner@sakilacustomer.org",13428
366,"Brandon",371,"brandon.huey@sakilacustomer.org",13421
537,"Clinton",543,"clinton.buford@sakilacustomer.org",13419
135,"Juanita",139,"juanita.mason@sakilacustomer.org",13390
227,"Colleen",231,"colleen.burton@sakilacustomer.org",13374
42,"Carolyn",46,"carolyn.perez@sakilacustomer.org",13351
64,"Judith",68,"judith.cox@sakilacustomer.org",13333
361,"Lawrence",366,"lawrence.lawton@sakilacustomer.org",13298
229,"Tamara",233,"tamara.nguyen@sakilacustomer.org",13295
417,"Travis",422,"travis.estep@sakilacustomer.org",13261
411,"Norman",416,"norman.currier@sakilacustomer.org",13246
5,"Elizabeth",9,"elizabeth.brown@sakilacustomer.org",13209
496,"Tyler",501,"tyler.wren@sakilacustomer.org",13182
394,"Chris",399,"chris.brothers@sakilacustomer.org",13178
175,"Annette",179,"annette.olson@sakilacustomer.org",13161
73,"Beverly",77,"beverly.brooks@sakilacustomer.org",13108
440,"Bernard",445,"bernard.colby@sakilacustomer.org",13106
107,"Florence",111,"florence.woods@sakilacustomer.org",13079
115,"Wendy",119,"wendy.harrison@sakilacustomer.org",13056
269,"Cassandra",274,"cassandra.walters@sakilacustomer.org",13025
336,"Joshua",341,"joshua.mark@sakilacustomer.org",13022
181,"Ana",185,"ana.bradley@sakilacustomer.org",13008
236,"Marcia",240,"marcia.dean@sakilacustomer.org",12988
216,"Natalie",220,"natalie.meyer@sakilacustomer.org",12970
284,"Sonia",289,"sonia.gregory@sakilacustomer.org",12959
28,"Cynthia",32,"cynthia.young@sakilacustomer.org",12938
516,"Elmer",522,"elmer.noe@sakilacustomer.org",12915
91,"Lois",95,"lois.butler@sakilacustomer.org",12902
180,"Stacy",184,"stacy.cunningham@sakilacustomer.org",12901
178,"Marion",182,"marion.snyder@sakilacustomer.org",12897
388,"Craig",393,"craig.morrell@sakilacustomer.org",12891
405,"Leonard",410,"leonard.schofield@sakilacustomer.org",12792
512,"Cecil",517,"cecil.vines@sakilacustomer.org",12786
354,"Justin",359,"justin.ngo@sakilacustomer.org",12759
211,"Stacey",215,"stacey.montgomery@sakilacustomer.org",12746
244,"Viola",248,"viola.hanson@sakilacustomer.org",12736
87,"Wanda",91,"wanda.patterson@sakilacustomer.org",12719
570,"Ivan",576,"ivan.cromwell@sakilacustomer.org",12716
497,"Gilbert",502,"gilbert.sledge@sakilacustomer.org",12698
245,"Courtney",249,"courtney.day@sakilacustomer.org",12682
228,"Allison",232,"allison.stanley@sakilacustomer.org",12672
410,"Curtis",415,"curtis.irby@sakilacustomer.org",12665
457,"Bill",462,"bill.gavin@sakilacustomer.org",12645
269,"Cassandra",274,"cassandra.walters@sakilacustomer.org",12610
317,"Edward",322,"edward.baugh@sakilacustomer.org",12574
438,"Barry",443,"barry.lovelace@sakilacustomer.org",12524
114,"Grace",118,"grace.ellis@sakilacustomer.org",12506
60,"Mildred",64,"mildred.bailey@sakilacustomer.org",12489
80,"Marilyn",84,"marilyn.ross@sakilacustomer.org",12457
155,"Gail",159,"gail.knight@sakilacustomer.org",12352
33,"Anna",37,"anna.hill@sakilacustomer.org",12277
22,"Laura",26,"laura.rodriguez@sakilacustomer.org",12222
587,"Sergio",593,"sergio.stanfield@sakilacustomer.org",12144
101,"Peggy",105,"peggy.myers@sakilacustomer.org",12141
516,"Elmer",522,"elmer.noe@sakilacustomer.org",12130
582,"Andy",588,"andy.vanhorn@sakilacustomer.org",12127
560,"Jordan",566,"jordan.archuleta@sakilacustomer.org",12116
479,"Zachary",484,"zachary.hite@sakilacustomer.org",12101
267,"Margie",272,"margie.wade@sakilacustomer.org",12066
284,"Sonia",289,"sonia.gregory@sakilacustomer.org",12064
296,"Ramona",301,"ramona.hale@sakilacustomer.org",12009
52,"Julie",56,"julie.sanchez@sakilacustomer.org",12001
69,"Judy",73,"judy.gray@sakilacustomer.org",11995
576,"Morris",582,"morris.mccarter@sakilacustomer.org",11942
474,"Dustin",479,"dustin.gillette@sakilacustomer.org",11909
200,"Jeanne",204,"jeanne.lawson@sakilacustomer.org",11866
152,"Alicia",156,"alicia.mills@sakilacustomer.org",11848
337,"Jerry",342,"jerry.jordon@sakilacustomer.org",11847
354,"Justin",359,"justin.ngo@sakilacustomer.org",11782
550,"Guy",556,"guy.brownlee@sakilacustomer.org",11757
163,"Cathy",167,"cathy.spencer@sakilacustomer.org",11754
373,"Louis",378,"louis.leone@sakilacustomer.org",11739
330,"Scott",335,"scott.shelley@sakilacustomer.org",11709
216,"Natalie",220,"natalie.meyer@sakilacustomer.org",11676
521,"Roland",527,"roland.south@sakilacustomer.org",11672
53,"Heather",57,"heather.morris@sakilacustomer.org",11657
597,"Freddie",603,"freddie.duggan@sakilacustomer.org",11652
11,"Lisa",15,"lisa.anderson@sakilacustomer.org",11646
192,"Laurie",196,"laurie.lawrence@sakilacustomer.org",11611
99,"Emily",103,"emily.diaz@sakilacustomer.org",11593
219,"Willie",223,"willie.howell@sakilacustomer.org",11577
83,"Louise",87,"louise.jenkins@sakilacustomer.org",11563
335,"Gregory",340,"gregory.mauldin@sakilacustomer.org",11541
155,"Gail",159,"gail.knight@sakilacustomer.org",11496
