"customer_id","first_name","customer_monthly_average"
321,"Kevin","5.09"
284,"Sonia","5.07"
172,"Bernice","5.06"
591,"Kent","5.06"
548,"Allan","4.99"
400,"Bryan","4.99"
220,"Charlene","4.99"
234,"Claudia","4.99"
544,"Cody","4.99"
555,"Dwight","4.99"
127,"Elaine","4.99"
169,"Erica","4.99"
427,"Jesus","4.99"
532,"Neil","4.99"
459,"Tommy","4.99"
149,"Valerie","4.99"
257,"Marsha","4.93"
502,"Brett","4.92"
179,"Dana","4.92"
39,"Debra","4.92"
51,"Alice","4.91"
221,"Bessie","4.91"
486,"Glen","4.91"
11,"Lisa","4.90"
105,"Dawn","4.89"
301,"Robert","4.89"
587,"Sergio","4.89"
352,"Albert","4.88"
17,"Donna","4.88"
95,"Paula","4.88"
372,"Steve","4.87"
209,"Tonya","4.87"
398,"Antonio","4.85"
541,"Darren","4.85"
497,"Gilbert","4.85"
430,"Ray","4.85"
247,"Stella","4.85"
307,"Joseph","4.84"
421,"Lee","4.84"
344,"Henry","4.82"
334,"Raymond","4.82"
577,"Clifton","4.81"
355,"Terry","4.81"
309,"Christopher","4.80"
74,"Denise","4.79"
47,"Frances","4.79"
475,"Pedro","4.79"
279,"Dianne","4.77"
545,"Julio","4.77"
178,"Marion","4.77"
238,"Nellie","4.77"
13,"Karen","4.76"
225,"Arlene","4.75"
50,"Diane","4.75"
170,"Beatrice","4.74"
432,"Edwin","4.74"
124,"Sheila","4.74"
218,"Vera","4.74"
573,"Byron","4.72"
558,"Jimmie","4.72"
41,"Stephanie","4.72"
579,"Daryl","4.70"
433,"Don","4.70"
594,"Eduardo","4.70"
162,"Lauren","4.70"
246,"Marian","4.70"
223,"Melinda","4.70"
174,"Yvonne","4.70"
510,"Ben","4.69"
73,"Beverly","4.69"
453,"Calvin","4.69"
506,"Leslie","4.69"
293,"Mae","4.69"
509,"Raul","4.69"
513,"Duane","4.68"
66,"Janice","4.68"
292,"Misty","4.68"
393,"Philip","4.68"
23,"Sarah","4.68"
206,"Terri","4.68"
462,"Warren","4.68"
295,"Daisy","4.67"
389,"Alan","4.66"
176,"June","4.66"
193,"Katie","4.66"
539,"Mathew","4.66"
226,"Maureen","4.66"
549,"Nelson","4.66"
376,"Randy","4.66"
363,"Roy","4.66"
316,"Steven","4.66"
308,"Thomas","4.66"
332,"Stephen","4.64"
63,"Ashley","4.63"
447,"Clifford","4.63"
106,"Connie","4.63"
531,"Jamie","4.63"
112,"Rosa","4.63"
490,"Sam","4.63"
488,"Shane","4.63"
449,"Oscar","4.62"
90,"Ruby","4.61"
375,"Aaron","4.59"
196,"Alma","4.59"
103,"Gladys","4.59"
418,"Jeff","4.59"
274,"Naomi","4.59"
123,"Shannon","4.59"
148,"Eleanor","4.58"
296,"Ramona","4.57"
595,"Terrence","4.57"
53,"Heather","4.56"
215,"Jessie","4.56"
22,"Laura","4.56"
245,"Courtney","4.55"
434,"Eddie","4.55"
15,"Helen","4.55"
98,"Lillian","4.55"
525,"Adrian","4.54"
407,"Dale","4.54"
428,"Herbert","4.54"
423,"Alfred","4.53"
533,"Jessie","4.53"
302,"Michael","4.52"
273,"Priscilla","4.52"
286,"Velma","4.52"
364,"Benjamin","4.49"
365,"Bruce","4.49"
150,"Danielle","4.49"
514,"Franklin","4.49"
526,"Karl","4.49"
214,"Kristin","4.49"
258,"Myrtle","4.49"
268,"Nina","4.49"
494,"Ramon","4.49"
437,"Randall","4.49"
305,"Richard","4.49"
104,"Rita","4.49"
294,"Shelly","4.49"
119,"Sherry","4.49"
197,"Sue","4.49"
469,"Wesley","4.49"
481,"Herman","4.45"
473,"Jorge","4.45"
31,"Brenda","4.44"
535,"Javier","4.44"
312,"Mark","4.44"
476,"Derrick","4.43"
191,"Jeanette","4.43"
265,"Jennie","4.43"
348,"Roger","4.43"
540,"Tyrone","4.43"
359,"Willie","4.43"
107,"Florence","4.42"
270,"Leah","4.42"
304,"David","4.41"
336,"Joshua","4.41"
402,"Luis","4.41"
319,"Ronald","4.41"
291,"Toni","4.41"
4,"Barbara","4.39"
387,"Jesse","4.39"
448,"Miguel","4.39"
68,"Nicole","4.39"
435,"Ricky","4.39"
166,"Lynn","4.37"
436,"Troy","4.37"
69,"Judy","4.35"
520,"Mitchell","4.35"
262,"Patsy","4.35"
195,"Vanessa","4.35"
373,"Louis","4.34"
152,"Alicia","4.32"
139,"Amber","4.32"
536,"Fernando","4.32"
213,"Gina","4.32"
242,"Glenda","4.32"
264,"Gwendolyn","4.32"
368,"Harry","4.32"
58,"Jean","4.32"
282,"Jenny","4.32"
574,"Julian","4.32"
240,"Marlene","4.32"
572,"Sidney","4.32"
237,"Tanya","4.32"
562,"Wallace","4.32"
219,"Willie","4.32"
199,"Beth","4.30"
518,"Gabriel","4.30"
233,"Lillie","4.30"
553,"Max","4.30"
254,"Maxine","4.30"
35,"Virginia","4.30"
366,"Brandon","4.29"
155,"Gail","4.29"
20,"Sharon","4.29"
599,"Austin","4.28"
140,"Eva","4.28"
561,"Ian","4.28"
300,"John","4.28"
560,"Jordan","4.28"
341,"Peter","4.28"
404,"Stanley","4.28"
367,"Adam","4.26"
29,"Angela","4.26"
175,"Annette","4.26"
222,"Delores","4.26"
576,"Morris","4.26"
14,"Betty","4.24"
517,"Brad","4.24"
554,"Dwayne","4.24"
317,"Edward","4.24"
377,"Howard","4.24"
1,"Mary","4.24"
185,"Roberta","4.24"
446,"Theodore","4.23"
101,"Peggy","4.22"
386,"Todd","4.22"
278,"Billie","4.21"
564,"Bob","4.21"
56,"Gloria","4.21"
45,"Janet","4.21"
65,"Rose","4.21"
380,"Russell","4.20"
468,"Tim","4.20"
503,"Angel","4.19"
142,"April","4.19"
161,"Geraldine","4.19"
523,"Harvey","4.19"
235,"Jackie","4.19"
547,"Kurt","4.19"
266,"Nora","4.19"
325,"Timothy","4.19"
116,"Victoria","4.19"
454,"Alex","4.17"
276,"Brandy","4.17"
10,"Dorothy","4.17"
267,"Margie","4.17"
168,"Regina","4.17"
136,"Anita","4.16"
318,"Brian","4.16"
96,"Diana","4.16"
328,"Jeffrey","4.16"
165,"Lorraine","4.16"
131,"Monica","4.16"
289,"Violet","4.16"
529,"Erik","4.14"
324,"Gary","4.14"
79,"Rachel","4.14"
173,"Audrey","4.13"
232,"Constance","4.13"
261,"Deanna","4.13"
135,"Juanita","4.13"
478,"Lewis","4.13"
94,"Norma","4.13"
581,"Virgil","4.13"
46,"Catherine","4.12"
125,"Ethel","4.12"
114,"Grace","4.12"
128,"Marjorie","4.12"
362,"Nicholas","4.12"
592,"Terrance","4.12"
122,"Thelma","4.12"
360,"Ralph","4.11"
512,"Cecil","4.10"
210,"Ella","4.10"
575,"Isaac","4.10"
501,"Ruben","4.10"
184,"Vivian","4.10"
338,"Dennis","4.09"
180,"Stacy","4.09"
414,"Vincent","4.09"
88,"Bonnie","4.08"
550,"Guy","4.08"
385,"Phillip","4.08"
202,"Carla","4.07"
113,"Cindy","4.07"
329,"Frank","4.07"
52,"Julie","4.07"
239,"Minnie","4.07"
339,"Walter","4.07"
578,"Willard","4.07"
306,"Charles","4.06"
590,"Seth","4.06"
390,"Shawn","4.06"
89,"Julia","4.05"
598,"Wade","4.05"
102,"Crystal","4.04"
